Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Number of Factors,Factors,Type of Rating,Evaluation Measure,Evaluation Category,Study Design,Key Findings,Criticism/Limitation
A Machine Learning Ensembling Approach to Predicting Transfer Value,"Ayse Elvan Aydemir, Tugba Taskaya Temizel, & Alptekin Temizel",2022,"The study aims to develop a machine learning ensembling approach to predict football player transfer values by integrating player performance data, financial indicators, and player popularity metrics.","70,383",player,"70,383 male football players from 85 countries and 174 competitions",Global,Ensemble Learning,"Ensemble Learning with LightGBM (gradient-boosted decision trees), using three different models based on varying levels of transfer fee transformations: raw values, root-transformed, and log-transformed values. These were combined into a meta-learner to capture different transfer value dynamics.",Event Data,220,"Avg Competition Rating, Mean Player Value, Commonality 1, Commonality 10, Commonality 2, Commonality 3, Commonality 4, Commonality 5, Commonality 6, Commonality 7, Commonality 8, Commonality 9, Currently Injured, Severity 1, Severity 10, Severity 2, Severity 3, Severity 4, Severity 5, Severity 6, Severity 7, Severity 8, Severity 9, Domestic Cup Club 0 Alltime Player, Domestic Cup Club 0 Alltime Player Difference, Domestic Cup Club 0 Prevseason Player, Domestic Cup Club 0 Prevseason Player Difference, Domestic Cup Club 1 Alltime Player, Domestic Cup Club 1 Alltime Player Difference, Domestic Cup Club 1 Prevseason Player, Domestic Cup Club 1 Prevseason Player Difference, Domestic Cup Club 2 Alltime Player, Domestic Cup Club 2 Alltime Player Difference, Domestic Cup Club 2 Prevseason Player, Domestic Cup Club 2 Prevseason Player Difference, Domestic League Club 0 Alltime Player, Domestic League Club 0 Alltime Player Difference, Domestic League Club 0 Prevseason Player, Domestic League Club 0 Prevseason Player Difference, Domestic League Club 1 Alltime Player, Domestic League Club 1 Alltime Player Difference, Domestic League Club 1 Prevseason Player, Domestic League Club 1 Prevseason Player Difference, Domestic League Club 2 Alltime Player, Domestic League Club 2 Alltime Player Difference, Domestic League Club 2 Prevseason Player, Domestic League Club 2 Prevseason Player Difference, Domestic League Club 3 Alltime Player, Domestic League Club 3 Alltime Player Difference, Domestic League Club 3 Prevseason Player, Domestic League Club 3 Prevseason Player Difference, Domestic Super Cup Club 0 Alltime Player, Domestic Super Cup Club 0 Alltime Player Difference, Domestic Super Cup Club 0 Prevseason Player, Domestic Super Cup Club 0 Prevseason Player Difference, Domestic Super Cup Club 2 Alltime Player, Domestic Super Cup Club 2 Alltime Player Difference, Domestic Super Cup Club 2 Prevseason Player, Domestic Super Cup Club 2 Prevseason Player Difference, Domestic Super Cup Club 3 Alltime Player, Domestic Super Cup Club 3 Alltime Player Difference, Domestic Super Cup Club 3 Prevseason Player, Domestic Super Cup Club 3 Prevseason Player Difference, International Cup Club 0 Alltime Player, International Cup Club 0 Alltime Player Difference, International Cup Club 0 Prevseason Player, International Cup Club 0 Prevseason Player Difference, International Cup Club 1 Alltime Player, International Cup Club 1 Alltime Player Difference, International Cup Club 1 Prevseason Player, International Cup Club 1 Prevseason Player Difference, International Cup Club 2 Alltime Player, International Cup Club 2 Alltime Player Difference, International Cup Club 2 Prevseason Player, International Cup Club 2 Prevseason Player Difference, International Cup International 0 Alltime Player, International Cup International 0 Alltime Player Difference, International Cup International 0 Prevseason Player, International Cup International 0 Prevseason Player Difference, International Cup International 1 Alltime Player, International Cup International 1 Alltime Player Difference, International Cup International 1 Prevseason Player, International Cup International 1 Prevseason Player Difference, International Cup International 2 Alltime Player, International Cup International 2 Alltime Player Difference, International Cup International 2 Prevseason Player, International Cup International 2 Prevseason Player Difference, International Super Cup Club 0 Alltime Player, International Super Cup Club 0 Alltime Player Difference, International Super Cup Club 0 Prevseason Player, International Super Cup Club 0 Prevseason Player Difference, International Super Cup Club 3 Alltime Player, International Super Cup Club 3 Alltime Player Difference, International Super Cup Club 3 Prevseason Player, International Super Cup Club 3 Prevseason Player Difference, age, Age Squared, Birth Eu, Birtharea Alpha3Code, Foot, Height, Passport Eu, Passportarea Alpha3Code, Avg Fee To Date, Max Fee To Date, Min Fee To Date, Mv, Num Paid Transfers To Date, Num Transfers To Date, Season, Tenure In Team, Total Fee To Date, Transfer Window, Accelerations Reg, Attacking Duels Str, Crosses Str, Days Since Last Match, Field Air Duels Str, Forward Passes Str, Forward To Back And Vert Passes Rat, fouls, Headshots Reg, interceptions Reg, key pass Str, Linkup Plays Str, long pass Str, Looseballs Str, Losses To Recoveries Rat, Net Expected Goals Reg, New Attacking Duels Str, New Defensive Duels Str, New Successful Dribbles Str, Opponent Half Recoveries Reg, Own Half Losses Reg, Passes Str, Player Rank, Player Rating, Pressing Duels Reg, Progressive Runs Reg, Received Passes Reg, Recoveries To Fouls Rat, Shot Assists Reg, Shots Reg, Shots Str, Successful Dribbles Str, through ball, Xgassists Reg, Xgshots Reg, Player To Role Popularity Ratio, Player Trend, Role Trend, Agg Cb, Attacking Winger, Cam, Classic Winger, Code, Fb, Gk, Holding Mid, Linkup Striker, Regista, Speedy Striker, Stable Cb, Tank, Unique Roles, Wb, Domestic Cup Club 0 Alltime Team, Domestic Cup Club 0 Prevseason Team, Domestic Cup Club 1 Alltime Team, Domestic Cup Club 1 Prevseason Team, Domestic Cup Club 2 Alltime Team, Domestic Cup Club 2 Prevseason Team, Domestic League Club 0 Alltime Team, Domestic League Club 0 Prevseason Team, Domestic League Club 1 Alltime Team, Domestic League Club 1 Prevseason Team, Domestic League Club 2 Alltime Team, Domestic League Club 2 Prevseason Team, Domestic League Club 3 Alltime Team, Domestic League Club 3 Prevseason Team, Domestic Super Cup Club 0 Alltime Team, Domestic Super Cup Club 0 Prevseason Team, Domestic Super Cup Club 2 Alltime Team, Domestic Super Cup Club 2 Prevseason Team, Domestic Super Cup Club 3 Alltime Team, Domestic Super Cup Club 3 Prevseason Team, International Cup Club 0 Alltime Team, International Cup Club 0 Prevseason Team, International Cup Club 1 Alltime Team, International Cup Club 1 Prevseason Team, International Cup Club 2 Alltime Team, International Cup Club 2 Prevseason Team, International Cup International 0 Alltime Team, International Cup International 0 Prevseason Team, International Super Cup Club 0 Alltime Team, International Super Cup Club 0 Prevseason Team, International Super Cup Club 3 Alltime Team, International Super Cup Club 3 Prevseason Team, Count Alltime Buying Free Transfer, Count Alltime Buying Loan, Count Alltime Buying Transfer, Count Alltime Selling Free Transfer, Count Alltime Selling Loan, Count Alltime Selling Transfer, Count Prevseason Buying Free Transfer, Count Prevseason Buying Loan, Count Prevseason Buying Transfer, Count Prevseason Selling Free Transfer, Count Prevseason Selling Loan, Count Prevseason Selling Transfer, Total Fee Alltime Buying Loan, Total Fee Alltime Buying Transfer, Total Fee Alltime Selling Loan, Total Fee Alltime Selling Transfer, Total Fee Prevseason Buying Loan, Total Fee Prevseason Buying Transfer, Total Fee Prevseason Selling Loan, Total Fee Prevseason Selling Transfer, Team Comp Rating Diff, Team Rating",Player,Predicted Transfer Fee,Financial Related,Algorithmic rating/composite,"[1] The ensemble model, combining different levels of transfer fee transformations (log-transformed, root-transformed, and raw values), showed better predictive performance across different ranges of transfer values, particularly for low and mid-range transfer fees, but struggled with high-value transfers. [2] Root-transformed base learners performed the best overall, while log-transformed learners specialized in lower transfer fees. [3] The most important predictive features were historical club transfer spending, market value from Transfermarkt, and competition-level ratings (ELO).","[1] The model does not incorporate financial data from buying clubs, which are often critical in determining transfer fees. [2] The model performs better for low- and mid-range transfers but faces challenges with outliers in the high-value range, which may be due to the long-tail distribution of transfer fees. [3] The paper highlights difficulties in matching and integrating data from different sources (WyScout, Transfermarkt, Google Trends) due to inconsistent naming conventions and different data structures. [4] The inclusion of popularity metrics (e.g., Google Trends) as predictors introduces a layer of subjectivity to the model."
Analysis and Parameterization of Sports Performance: A Case Study of Soccer,"Jesús-Ángel Román-Gallego, María-Luisa Pérez-Delgado, Fernando-José Cofiño-Gavito, Miguel Á. Conde & Rubén Rodríguez-Rodrigo",2023,"The study develops an expert system (ES) using fuzzy logic to evaluate soccer player performance comprehensively, measuring aptitude across technical, physical, and psychological metrics. This system aims to assist clubs by parameterizing performance indicators and estimating match outcomes based on player and team-level attributes.",617,player,617 players from the 2021-2022 La Liga Santander season,Europe,Decision & Heuristic Systems,"Fuzzy logic within an expert system (ES) framework, incorporating fuzzy sets for scoring parameters like physical and psychological aspects.",Aggregated Data,98,"Tackles Won, Tackle Success Rate, Dribblers Tackled, Pressure Appplied that Regained Possession, Pressure Success Rate, Blocks, blocked shots, Shots Blocked between Post, Blocked Pass, interceptions, clearances, Ball Recoveries, Yellow Cards, Second Yellow Cards, Red Cards, fouls, Offsides, errorss Leading to Shot, Penalties Commited, Own Goals, age, Short Pass, Short Pass Completion, Medium Pass, Medium Pass Completion, Long Pass, Long Pass Completion, Progressive Passes, Progressive Passes Completion, Switches, Crosses, Crosses into Penalty Box, Assists, Expected Assists - Assists, key pass, key pass Received, Passes Received, Progressive Passes Received, Touches, Touches in Play, Left Right Foot Balance Ratio, Passes under Pressure, Passes under pressure share, Successful Dribbles, Dribble Success %, Opponents Beaten, Dribbles leading to shot, Dribbles leading to goal, Progressive Carries, Progressive Carry Distance, Carries into Final Third, Carries into Penalty Box, Total Carries, Miscontrols, Ground Duels Won, Ground Duel Success, Pass Reception behind Defensive Lines, Pass Receptions in Penalty Area, Pass receptions under pressure, Ball touches with left foot %, Ball touches with right foot %, fouls won, fouls won that lead to shot, fouls won that lead to goal, Turnovers (dispossession) , aerial duel success %, Aerial duels won, Height percentile, minutes played played, minutes played played, Matches completed, Age, injury-risk metric, Top-speed, Strength rating, Shooting opportunities created, Shots that create rebound & second shot, Defensive actions generating a shot, Goal-creation actions, Defensive actions generating a goal, Shots that rebound & become goal, Penalty-kick effectiveness %, Goals, Non-penalty goals, Shots attempted, Shot-on-target ratio %, Average shot distance, goals conceded, Goals-against minus errors, Clean-sheet rate, Save percentage %, Saves, Penalty-save percentage %, Penalties faced but missed (wide / bar) %, Cross-interceptions percentage %, Crosses intercepted, Sweeper-keeper defensive actions, Average distance of keeper actions",Player,Predicted Match Outcomes,Team Performance Related,Explanatory (associational/regression),"[1] Fuzzy logic effectively handles ambiguous or imprecise performance data, translating diverse indicators into structured player and team ratings. [2] Physical and psychological parameters significantly contribute to player ratings, particularly for predicting team performance outcomes.","[1] The system lacks adaptability to real-time changes, such as form fluctuations or mid-season injuries, potentially affecting the accuracy of performance evaluation. [2] The focus on a single season and league (La Liga) may reduce generalizability across leagues with distinct playing styles."
Deep Soccer Analytics: Learning an Action-Value Function for Evaluating Soccer Players,"Guiliang Liu, Yudong Luo, Oliver Schulte, & Tarak Kharrat",2020,"This paper develops a new approach for evaluating soccer players by utilizing a Deep Reinforcement Learning (DRL) model to learn an action-value Q-function. The aim is to measure the impact of all soccer actions on overall game performance, offering a more comprehensive evaluation than traditional methods that focus on goals and shots.",2976,matches," 2,976 matches from Europe",Europe,"Reinforcement Learning , Neural Network",A deep reinforcement learning model is used to learn a Q-function that estimates the impact of a players actions on the probability of scoring the next goal. The model utilizes a two-tower Long Short-Term Memory (LSTM) architecture to separately process the home and away teams game dynamics. It also introduces two metrics: Goal Impact Metric (GIM) and Q-value-above-average-replacement (QAAR) for player evaluation.,Event Data,84,"Game-time remaining, Man-power differential, goal difference, Home/Away indicator, x-coordinate, y-coordinates, Ball velocity, Event duration, Action type, Action outcome",Player,Goal Impact Metric (GIM) and Q-value-above-average-replacement (QAAR),Player Performance Related,Algorithmic rating/composite,"[1] The DRL model captures complex game contexts and provides a more accurate player evaluation than traditional metrics like expected goals (xG). [2] The GIM metric shows high correlations with standard success metrics such as goals and assists, and outperforms existing player evaluation models. [3] The model identifies both offensive and defensive contributions by players, allowing for a comprehensive assessment of on-the-ball actions.","[1] The model only evaluates on-ball actions, excluding off-ball contributions (e.g., positioning). [2] The computational complexity of training the DRL model is high, requiring significant resources for real-time evaluation. [2] Metric favors attackers over defensive players"
PlayeRank: Data-driven Performance Evaluation and Player Ranking in Soccer via a Machine Learning Approach,"Luca Pappalardo, Paolo Cintia, Paolo Ferragina, Emanuele Massucco, Dino Pedreschi, & Fosca Giannotti",2019,"PlayeRank introduces a comprehensive data-driven framework to evaluate and rank soccer players performances across multiple roles using a machine learning approach. Unlike traditional evaluation methods, PlayeRank leverages rich soccer-log data to generate role-aware, multidimensional assessments of player performance.",19619,matches,"19,619 matches from Europe leagues across 4 seasons",Europe,"Unsupervised Learning , Supervised Learning","Feature Weighting through Linear Support Vector Classifier (LSVC) determines the importance of each feature (e.g., passes, tackles) by linking it to match outcomes. Role Detection using K-Means Clustering clusters players into eight main roles based on their average field position, allowing role-specific evaluations.",Event Data,76,"Pass, Long Pass, Smart Pass, key passes, Cross, Freekick Pass, Corner Short, Corner Cross, Throw In, Headed Pass, Cut Back, Pull Back, High Pass, Launch, Switch of Play, Through Ball, Shot on Target, Shot off Target, Shot Blocked, Penalty Goal, Penalty Miss, Own Goal, Take On, Accelerations Forward, Acceleration Backward, Ground Duel, Aerial Duel, Tackle, Sliding Tackle, ball recoveries, interceptions, Blocked Pass, Counter Press Recovery, clearances, Punch clearances, blocked shots, Headed clearances, Fouls, fouls won, Yellow Card, Red Card, Second Yellow Card, Penalty Conceded, dispossession, ball losses, Mistouch, errors Leading to Shot, Throw In, Offside, Captaincy minutes played, Substitution, Injury Time minutes played",Player,PlayeRank Score,Player Performance Related,Algorithmic rating/composite,"[1] PlayeRank effectively distinguishes players based on roles, identifying that key player ratings vary significantly by position. [2] The PlayeRank system achieved high concordance with professional scouts evaluations, outperforming other traditional metrics by up to 30% in accuracy. [3] The system identified that while top players achieve excellent performances more frequently, all players generally show a low frequency of outlier performances.","[1] The framework doesnt cover goalkeepers, as they require separate evaluation due to different field responsibilities. [2]  The clustering approach may not fully capture nuanced, hybrid roles, which could impact the precision of player evaluations in dynamic game scenarios."
A novel machine learning method for estimating football players value in the transfer market,Iman Behravan & Seyed Mohammad Razavi,2020,This study introduces a two-phase machine learning model to estimate football players' transfer market values using the FIFA 20 dataset. The aim is to overcome limitations in traditional crowd-based estimation methods by providing a data-driven approach tailored to specific player positions.,18278,player,"18,278 players from the FIFA 20 dataset",Global,"Regression , Unsupervised Learning",APSO-clustering (Automatic Particle Swarm Optimization Clustering) to categorize players and PSO-SVR (Particle Swarm Optimization with Support Vector Regression) to estimate market values within each cluster,Aggregated Data,55,"Age, Height, Weight, Preferred foot, International Reputation, Overall, Weak Foot, Pace, Shooting, Defending, Passing, Dribbling, Physical, Acceleration, Aggression, Agility, Position, Awareness, Balance, Ball Control, Composure, Crossing, Curve, Finishing, Free Kick, Heading, interceptions, Jumping, Long Passing, long shots, Marking, Penalties, Positioning, Reactions, Short Passing, Shot Power, Sliding Tackle, Sprint Speed, Stamina, Standing Tackle, Strength, Vision, Volley, Diving, Handling, Kicking, Positoning, Reflexes, Speed",Player,Predicted Market Value,Financial Related,Predictive,"[1] Segmenting players by position before estimating market value enhanced accuracy by reducing data complexity, with APSO-clustering showing high effectiveness in organizing players by role. [2] PSO-SVR demonstrated higher accuracy than other metaheuristic methods like GWO (Grey Wolf Optimizer), with a 74% accuracy in value estimation. [3] The study emphasizes the importance of position-specific attributes (e.g., goalkeeping for goalkeepers, shooting for strikers), reinforcing the need for tailored feature selection in valuation models.","[1] The FIFA dataset might not fully capture real-world player market values, as it is designed for gaming rather than actual market evaluation. [2] While effective for current roles, the model may lack flexibility to account for hybrid or multi-role players."
Evaluating Player Performances in Football: A Debiased Machine Learning Approach,Robert Bajons,2023,"The study applies a debiased machine learning approach to estimate the contributions of players to a possession sequence, in order to derive a metric to rate players that accounts for team strengths and game context.",1826,matches,"1,826 matches",Europe,Regression,Debiased machine learning to obtain unbiased estimates of contributions effect and they are then used to derive player rating,Event Data,53,"x-coordinates, y-coordinates, pass_length, pass_angle, distance_to_goal_at_start, angle_to_goal_at_start, pitch_third_indicator, possession_duration_seconds, possession_speed_mps, possession_action_count, possession_sequence_length, match_minute, game_phase_dummy (first_half, second_half, added_time, score_differential, home_team_flag, away_team_flag, open_play_flag, free kick, corners, throw_in_flag, counter_attack_flag, fast_break_flag, ball_height_ground, ball_height_low, ball_height_high, pass_body_part_left_foot, pass_body_part_right_foot, pass_body_part_head, pass_outcome_completed, pass_outcome_incomplete, dribbles_flag, dribbles_outcome_success, dribbles_outcome_failure, carry_flag, carry_distance, carry_direction_angle, shot_flag, xG_pre_event, xT_pre_event, xT_post_event, previous_action_type_dummy, previous_action_x, previous_action_y, next_action_type_dummy, next_action_x, next_action_y, number_of_attackers_in_possession, number_of_defenders_in_possession, player_involvement_dummy_playerN, player_on_field_dummy_playerN",Player,PCV: Possession Contribution Value,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] The PCV rating (based on possession contributions) performed well in predicting match outcomes. While ELO ratings performed the best overall, PCV was slightly better than the VAEP rating system in terms of predictive performance. [2] When comparing the two methods for predicting match outcomes (bivariate Poisson and logistic regression), there was no notable difference in results. [3] One key advantage of ELO ratings was that they used more data (multiple seasons), while PCV and VAEP only used data from the 2017/18 season. This might explain why ELO ratings did slightly better overall.","[1] Players who are involved a lot, like midfielders, may have their effectiveness underestimated, while strikers who are involved less may have their effectiveness overestimated, this could mean key midfielders who are highly involved in possession are underrated compared to strikers who only touch the ball at the end of plays. [2] The system faces problems like multicollinearity (when variables are too closely related as they occur within a predefined coordinate space) and overfitting (fitting the model too perfectly to past data), which makes it harder to create a reliable model. [3] The model treats the outcome as binary (goal/no goal), which oversimplifies the game. [4] The player ratings are averaged across the team to predict match outcomes. This means that individual brilliance might get ""averaged out"" when looking at the whole teams strength, suggesting that the focus on match results might overlook the individual player performance, outside of team dynamics."
Developing a Reliable Hybrid Machine Learning Model for Objective Soccer Player Valuation,Hongtao Yu & Jialiang Li,2024,"This study proposes a hybrid machine learning model to improve the accuracy and reliability of soccer player market value predictions. The model seeks to provide an objective, data-driven approach for estimating player values, addressing limitations in traditional methods based on expert opinion or basic statistical models.",491,player,491 players from FIFA 20 video game,Global,Regression,"Decision Tree Regression (DTR) enhanced with two metaheuristic algorithms: the Jellyfish Search Optimizer (JSO) and the Honey Badger Algorithm (HBA), creating two hybrid models, DTJS (Decision Tree + JSO) and DTHB (Decision Tree + HBA)",Aggregated Data,53,"age, international-reputation, weak-foot, skill-moves, short-pass, finishing, heading accuracy, crossing, volleys, curve, dribbling, free-kick-accuracy, long pass, ball control, height, weight, sprint-speed, acceleration, agility, stamina, shot-power, balance, jumping, reactions, strength, goals, assists, shots-on-goal, yellow cards, red cards, potential, overall, aggression, interceptions, positioning, vision, penalties, composure, marking, standing-tackle, sliding-tackle",Player,Predicted Market Value,Financial Related,Predictive,"[1] The DTJS (Decision Tree and Jellyfish Search Optimizer) hybrid model achieves an R² value of 0.982, outperforming other baseline models and providing highly accurate market value predictions, showing faster convergence and lower prediction errors. [2] Age, ball control, and interceptions are identified as the most significant predictors of market value, providing actionable insights for performance-focused player evaluations.","[1] While FIFA data is accessible, it may not capture real-world complexities, potentially limiting the models relevance for actual player valuations. [2] The study lacks validation against actual transfer fees, so the models accuracy in real market scenarios remains unverified."
Actions Speak Louder than Goals: Valuing Player Actions in Soccer,"Tom Decroos, Lotte Bransen, Jan Van Haaren, & Jesse Davis",2019,"Provide a comprehensive evaluation method for every type of player action, while accounting for game context and longer-term effects of actions.",11565,matches,"11,565 games across top European leagues during 2012/13 to 2017/18 seasons",Europe,Ensemble Learning,"VAEP framework to assign value based on the change it brings to a team's likelihood of scoring or conceding, utilizes Catboost",Event Data,51,"Action Type, Result, Body Part, x-coordinates, y-coordinates, Timestamp, Start Distance to Goal, End Distance to Goal, Start Angle to Goal, End Angle to Goal, Goals, goals conceded, Goal Difference, Distance between actions, Elapsed Time between Actions, Possession-Change between Actions, Pass, Cross, Throw, Free Kick (short), Free Kick (Cross), Corner (short), Corner (crosses), Take On, Foul, Tackle, interceptions, Shot, Shot Penalty, Shot Free Kick, Keeper Save, Keeper Claim, Keeper Punch, clearances, Bad control, Offside",Player,VAEP: Valuing Actions by Estimating Probabilities,Player Performance Related,Algorithmic rating/composite,"[1] VAEP captures player contributions more effectively than traditional metrics (goals and assists), identifying valuable players who might not score often. [2] The model is useful for talent scouting and characterizing player styles, helping clubs recruit players who fit specific playing styles.","[1] The framework only values on-ball actions, overlooking defensive contributions made off the ball. [2] Comparing players across different leagues can be challenging due to varying levels of competition. [3] Ratings can get diluted with the amount of actions a player performs."
un-xPass: Measuring Soccer Players Creativity,"Pieter Robberechts, Maaike Van Roy, & Jesse Davis",2023,The study aims to develop a metric that quantifies the level of creativity involved in a player's pass by utilizing machine learning techniques to assess the originality of the pass and its value in terms of increasing the teams chances of scoring a goal.,811,matches,811 matches,Europe,Ensemble Learning,"Machine learning model (XGBoost based on handcrafted features and deep learning CNN model) to identify the likelihood of each possible pass destination, the long-term reward of each passing option and the success probability of each passing option. CDR is measured by the difference of the expected values of the chosen pass option and the predicted typical pass.",Event Data,51,"attacking_player_locations_map, defending_player_locations_map, distance_to_ball_map, distance_to_goal_map, sin_angle_to_ball_map, cos_angle_to_ball_map, angle_to_goal_map, ball_velocity_x_map, ball_velocity_y_map, origin_x, origin_y, destination_x, destination_y, pass_length, delta_x, delta_y, pass_angle, distance_to_goal_origin, angle_to_goal_origin, distance_to_goal_dest, angle_to_goal_dest, distance_to_sideline, ball_height_category, passer_on_ball_time, possession_speed, possession_duration, possession_action_count, nearest_defender_passer, nearest_defender_receiver, nearest_defender_line, packed_opponents_3m, packed_opponents_5m, opponents_in_path, counter_attack_flag, fast_break_flag, free kick, open_play_flag, pass_completed_flag, dribbles_flag, carry_flag, xg_future_shots, xg_future_conceded goals, score_differential, match_minute, half_indicator, home_team_flag, away_team_flag, start_cell_id, end_cell_id, packed_opponents_map, defenders_in_path_map",Player,CDR: Creative Decision Rating,Action-Centric Performance Metrics,Algorithmic rating/composite,[1] The models developed for estimating pass success probability highlight the complexities involved in identifying intended receivers and the importance of contextual factors.,"[1] Set pieces are excluded from the study eventhough they bring in importance into a player's creativity levels, but is not being properly assessed. [2]  One key limitation in modeling pass success is that failed passes are harder to analyze because the intended target is unknown. The model makes assumptions about who the intended receiver was based on distance and angle, which introduces potential inaccuracies, especially in cases where the ball was intercepted early or deflected. [3] Metric awards players who attempt atypical passes but neglects the results or the success rate of the pass, which could bring about inaccuracies in the assessment of players creativity volume."
Uncovering Value Drivers of High Performance Soccer Players,"Maribel Serna Rodríguez, Andrés Ramírez Hassan & Alexander Coad",2019,"To identify the most probable determinants (value drivers and negative value drivers) of a players market value in the Big-5 European leagues, explicitly accounting for model-selection uncertainty and potential endogeneity.",335,player,335 players from the five major European leagues across 2015-2020,Europe,Bayesian Methods,"Bayesian Model Averaging (BMA) utilized to address model uncertainty by generating a weighted average across multiple model specifications .Instrumental Variable Bayesian Model Averaging (IVBMA) addresses endogeneity in player market value and performance measures, enhancing reliability.",Aggregated Data,45,"appearances, Age, Age Squared, National Team Participation, Defender, Midfielder, Forward, Goals, Goals Squared, Experience, Experience Squared, Assists, Concacaf, Conmebol, AFC, UEFA, Goals Previous Season, Premier League, Serie A, Ligue 1, Matches, Matches Squared, both footed, Right Leg, Assistances Matches, First Division, Second Division, Club Administration, Sport Agent, Height, Height Squared, Substitute, Public Attention, Member Union Association, International Players Team, Superstar 2, Under-21 but not Senior Appearance, Appearances in UEFA Champions League, Recognition Under-21, FIFA Cup, EURO UEFA, UEFA Champion, UEFA European, UEFA Super Cup, Team Experience, Constant",Player,Market Value,Financial Related,Predictive,"[1] Very strong evidence (PIP ? 0.99) that market value rises with: Performance (match appearances), Senior national-team participation, Age (positive), Goals scored, U-21 recognition, Age² is a negative driver (implies peak value ? 26 yrs) [2] Positive evidence that club success (playing in 1st division) and club market value (club administration) also matter. [3] Results are robust in IVBMA, though goals fall to positive-evidence tier (PIP ? 0.64).","[1] Transfermarkt valuations blend crowd opinion and media influence introducing measurement noise. [2] Sample restricted to 335 players from 2015/16 season, limiting generalisability across time and lower tiers. [3] aggregation across positions may mask role-specific value drivers (e.g., goalkeepers). [4] cross-sectional design ignores dynamics/unobserved heterogeneity; BMA assumes true model within candidate set; greedy MC3 may miss global optimum; heavy regressor requirement complicates panel extension."
