Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Factors,Type of Rating,Evaluation Metric/Rating System,Evaluation Category,Key Findings,Criticism/Limitation
Analysis of crossing at the 2014 FIFA World Cup,"Craig Pulling, David Eldridge, Emma Ringshall, & Matthew T. Robins",2018,"The study investigates open play crosses during the 2014 FIFA World Cup, aiming to understand how cross delivery types, timing, and defensive pressure influence offensive and defensive outcomes. It seeks to inform tactical decisions and hence evaluate player performance accordingly.",64,matches,64 World Cup matches,Global,Regression,"Chi-Square Tests of Association is used to analyze relationships between cross delivery types, pitch zones, and outcome categories.",Event Data,"delivery type, pitch side, delivery timing, goal scoring attempts",Player,Crossing performance,Action-Centric Performance Metrics,"[1] This study highlights the importance of delivery type and timing, which could serve as specific KPIs for evaluating player contributions to offensive phases, particularly for wingers and full-backs. [2] Performance evaluation systems could weight crossing success and outcomes by origin zone, rewarding players who consistently deliver accurate crosses from high-impact areas.","[1] Observations rely on video quality and angles, which may omit subtle positional adjustments that affect crossing outcomes???. [2] Focuses on the 2014 FIFA World Cup only, which limits the generalizability of findings across other tournaments or league competitions."
Smart Data Scouting in Professional Soccer: Evaluating Passing Performance based on Position Tracking Data,"Matthias Kempe, Floris R. Goes & Koen A. P. M. Lemmink",2018,"This study aims to evaluate passing performance in professional soccer using position tracking data. It investigates how spatiotemporal variables derived from tracking data can serve as indicators for tactical behavior, pass accuracy, and other key performance metrics, offering a real-time, data-driven approach to player evaluation.",82,matches,82 professional soccer matches in the Dutch Eredivisie,Europe,Regression,Ridge Regression with Cross-Validation is used to evaluate the relationship between spatiotemporal variables and pass effectiveness.,Tracking Data,"Coordinates of players, velocities, acceleration, pass, tackles, assists, goals, shots, pass length, pass angle, pass velocity",Player,CMP: Composite Pass Performance,Action-Centric Performance Metrics,"[1] The model achieved 75.6% accuracy in predicting pass effectiveness using I-Mov and C-Mov, indicating that spatiotemporal variables effectively capture passing impact. [2] Passes that cause movement along the X-axis correlate with higher assists, whereas collective movements along the Y-axis relate negatively with key passes.","[1] CMP requires precise tracking data, limiting applicability where such systems aren’t in place. [2] CMP’s multiple components make it challenging to interpret without specific analytic expertise. [3] The focus on pass effectiveness may overlook defensive contributions, making it less suitable for evaluating purely defensive roles."
Identifying key players in soccer teams using network analysis and pass difficulty,Ian G. McHale & Samuel D. Relton,2018,"This study uses network analysis combined with a statistical model of pass difficulty to identify key players in soccer teams. The methodology aims to determine pivotal players by assessing the complexity of passes and their impact on team dynamics, supporting decisions in lineup optimization and opponent analysis.",380,matches,380 matches of the 2012-2013 English Premier League season,Europe,"Regression , Graph-Based Modelling",Generalized Additive Mixed Model (GAMM) to evaluate pass difficulty based on contextual factors and integrates network analysis to measure player centrality and connection strength in passing.,Event Data and Tracking Data,"distance, margin of error, number of opposition players nearby, pass origin and destination coordinates, and pass pressure",Player,Pass Success Probability,Action-Centric Performance Metrics,"[1] The network analysis with weighted pass difficulty effectively identified central players who contribute significantly to offensive play. [2] Difficult passes, weighted higher in the analysis, showed which players contribute meaningfully to ball advancement and scoring opportunities.",[1] The number of covariates may limit applicability for real-time decision-making due to computational demands.
Pitch actions that distinguish high scoring teams: Findings from five European football leagues in 2015-16,Sumit Sarkar & Soumyakanti Chakraborty,2018,"The study aims to identify key pitch actions that significantly impact the scoring ability of teams, focusing on non-penalty goals scored per match. The authors examine various technical and tactical variables to determine what differentiates high-scoring teams across major European leagues.",1826,matches,1826 matches,Europe,Regression,Log-linear regression model is employed to identify impactful variables,Aggregated Data,"shooting accuracy, long pass accuracy, shots from the penalty box, cross accuracy, passes",Team and Player,Non-Penalty Goals Scored per game,Action-Centric Performance Metrics,"[1] Shots from the Penalty Box are a primary determinant, with a strong positive correlation to non-penalty goals per game, suggesting close-range shots are most effective for scoring. [2] Long Pass Accuracy positively influences scoring, but an increased share of long passes in total passes shows a negative impact, highlighting the advantage of technical proficiency over frequency. [3] Crosses per Game negatively affect scoring outcomes, which indicates that high-scoring teams may benefit more from central play rather than wide cross-heavy strategies.","[1] The model assumes consistency across leagues without addressing potential league-specific tactical norms or differences in defensive styles, which might influence the effectiveness of specific actions. [2] By aggregating team actions, the model overlooks individual player contributions within specific roles, limiting insights into player-level strategies that could also drive scoring."
New Indicator for Centrality Measurements in Passing-network Analysis of Soccer,"Masatoshi Kanbata, Ryohei Orihara, Yuichi Sei, Yasuyuki Tahara and Akihiko Ohsuga",2019,"New centrality model using pass-distribution data to improve conventional models by incorporating both shortest and longer sequences in evaluating player contributions, especially those leading to goals or assists",13,matches,113 matches,Europe,Graph-Based Modelling,"Graph theory and centrality measures, with focus on centrality, flow centrality, and their proposed model which adds longer passing sequences to the analysis",Aggregated Data,"pass-distribtion data: passes attempted, passes completed , average passes",Player,flow+: Centrality measures (betweenness and flow centrality),Action-Centric Performance Metrics,"[1] Players significantly impact team financial outcomes based on their contributions to goal differentials. This dual focus could encourage clubs to evaluate players not only on their athletic performance but also on their potential to contribute to revenue.  [2] The model’s use of Monte Carlo simulations and predictive capabilities allows clubs to forecast the likely impact of player transfers on both team success and revenue. [3] The study’s emphasis on weighting recent performances more heavily addresses a common issue in player evaluation models—keeping ratings current and reflective of a player’s recent form. Clubs can thus use this model to capture trends and fluctuations in a player’s performance, leading to more precise and timely evaluations.","[1] No contextualized information on the statistical data. [2] The model only calculates players’ marginal financial value, neglecting intrinsic team contributions and the fixed financial value of maintaining a full squad. This may underestimate player valuations. [3] The Monte Carlo simulation treats all players as consistently performing according to historical averages and does not factor in potential fluctuations in player form or tactical variations, which may lead to oversimplified projections."
Not Every Pass Can Be an Assist: A Data-Driven Model to Measure Pass Effectiveness in Professional Soccer Matches,"Floris R. Goes, Matthias Kempe, Laurentius A. Meerhoff, & Koen A.P.M. Lemmink",2019,"The paper presents a new model for evaluating pass effectiveness in soccer, focusing on how well a pass disrupts the opponent's defense. The goal is to quantify pass effectiveness beyond traditional measures that overemphasize forward passes and scoring opportunities.",18,matches,18 matches,Europe,Custom Rating Systems,"Defensive Disruptiveness Score (D-Def), which uses spatiotemporal data to evaluate the movement of defending players following a pass. The D-Def score quantifies the disruption caused to the defense following a pass.  It employs Principal Component Analysis (PCA) to derive key metrics related to defensive organization and disruption. The model considers movement and organizational changes in the opponent's defense to rate the effectiveness of passes.",Tracking Data,"pass length, pass angle, and pass velocity, player positions, defensive movements, disruption",Player,D-Def score,Action-Centric Performance Metrics,"[1] Long passes and fast passes in a longitudinal direction have the highest correlation with disrupting the opponent's defense. [2] Players who create more longitudinal movement in the defense are better passers according to the model. [3] Overall individual movement of players correlate with disruptiveness of defensive organization, the more the players move, the more unstable their defence is.","[1] The study only includes completed passes, meaning incomplete passes are excluded from the analysis, making it biased towards a certain style of play. [2] Study evaluates all passes by giving it a value, not condusive when calculating overall performance where we are interested in looking at the game changing moments, as proven by the study that progressive actions make the most of the disrupted defences. [3] It doesn’t account for the relationship between pass effectiveness and game outcomes (e.g., scoring goals)."
Transition to attack in elite soccer,Mike Hughes & Trevor Lovell,2019,"This study examines the transition from defense to attack, emphasizing key areas and types of turnovers, and specific player actions that enhance scoring opportunities, and therefore their performance. By analyzing turnovers in elite-level matches, it highlights tactical insights into optimal transition play in competitive soccer.",29,matches,29 matches,Europe,N/A,Chi-square tests to evaluate categorical outcomes like turnover zones and scoring opportunities.,Event Data,"tackles, interceptions, saves, passes, dribbles",Team and Player,Transition Success Rate,Action-Centric Performance Metrics,"[1] Transitions beginning in the offensive zone showed a high rate of scoring chances (49.45%) and a substantial goal conversion rate (7.69%), supporting strategies like high pressing and rewards players who win possession high up the pitch as the potential of scoring is greater. [2] Tackles were identified as the most effective turnover type, leading to more scoring opportunities and goals than interceptions. By weighting turnovers based on field zones (e.g., defensive vs. offensive zones), the effectiveness of a player's transition contributions can be evaluated. Offensive-zone turnovers, which yield higher scoring potential, would increase a player’s rating for impactful play, particularly for forwards or aggressive midfielders involved in pressing. [3] Immediate forward passes, dribbles, or runs after a turnover significantly increase the probability of a successful scoring opportunity. Player ratings can be enhanced by incorporating post-turnover decisions, such as forward passes, runs, and dribbles.","[1] Analysis confined to the Champions League knockout stages limits applicability to other leagues or competitive contexts. [2] Some turnovers and player actions may have been missed or inaccurately positioned due to the limited view from televised recordings?. [3] The model does not account for situational factors like opposition quality or time remaining, which could influence transition success and player decision-making??."
Diachronic analysis application for the detection of soccer performance standards: a case study,"Roberto Maneiro, Manuel Amatria & M.T. Anguera",2020,"This study aims to analyze soccer performance by examining the interactions of a specific player, Gerard Piqué, within the context of his team. Using observational methodology and polar coordinate analysis, the study focuses on interactions with teammates, positioning, technical skills, and influence on set pieces.",6,matches,6 matches,Europe,Graph-Based Modelling,"Polar coordinate analysis alongside lag sequential analysis to assess patterns of interaction, spatial zones, and technical actions.",Tracking Data,"spatial zones, player positioning, technical skills (passes, interceptions), and interactions with teammates",Player,Player Influence Level,Action-Centric Performance Metrics,"[1] Piqué showed a high degree of spatial control, engaging in various areas of the field and displaying flexibility in both defensive and offensive zones. [2] Notable interaction patterns were found between Piqué and players like Sergio Ramos, indicating strong defensive coordination.","[1] Focusing solely on Piqué limits generalizability for understanding full-team interactions. [2] The study’s observational approach may be subjective, relying on predefined criteria that could vary by observer. [3] This analysis is tailored to Piqué’s role in Spain’s team structure, potentially limiting applicability to other players or formations."
Differentiate the Game Maker in Any Soccer Match Based on Social Network Approach,"Samya Muhuri, Susanta Chakraborty & Sanjit K. Setua",2020,This study utilizes social network analysis to identify the “game maker” in soccer by examining ball-passing interactions. It aims to quantify influence using network centrality metrics in order to objectively determine the most impactful players in a game.,9,matches,9 matches,Global,Graph-Based Modelling,"Social network metrics including temporal degree centrality, temporal closeness centrality, temporal betweenness centrality, clustering coefficient, and weighted edge contribution are used for analysis",Event Data,"number of passes, passing accuracy, and connectivity within the network",Player,Player Influence Level - Centrality Scores,Action-Centric Performance Metrics,"[1] Network metrics effectively identified the most influential players (“game makers”), aligning with subjective selections in many cases. [2] Players’ influence fluctuated within the game, with centrality metrics showing a shift in “game maker” over different periods. [3] Analysis pinpointed critical zones where influential passes originated, which could inform tactical strategies, showing that different zones of influence offer distinct value.","[1] Players are assigned static zones (defense, midfield, attack), which may not fully reflect the fluid nature of player movements in actual games. [2] The reliance on centrality metrics may overlook other qualitative factors that influence game-making."
The Defensive Golden Index: A novel method to rank football player defensive performance for Futbol Club Barcelona,"Rui Ferreira, Sara Pereira, João Ribeiro, Júlio Garganta & Daniel Barreira",2021,"This study introduces the Defensive Golden Index (DGI), a quantitative model for ranking individual defensive performance in football. It applies the DGI to analyze the defensive performance of FC Barcelona players in the 2018-2019 La Liga season against various opponent levels.",38,matches,38 matches at La Liga,Europe,Custom Rating Systems,Variable Weighting for Formula Development,Aggregated Data,"successful tackles, interceptions, aerial and ground duels, ball recoveries, anticipation, cards, fouls, opponent strength",Player,Defensive Golden Index,Action-Centric Performance Metrics,"[1] Combining technical actions (e.g., duels, interceptions) with disciplinary data (e.g., fouls, cards) provides a nuanced view of defensive efficacy, shows that negative indicators are relevant in player assessment. [2] High performance in duels and recoveries linked to effective defense-attack transitions, showing its relevance to team's offensive schemes. [3] The study emphasizes successful tackles and interceptions as the most critical defensive attributes in the Defensive Golden Index (DGI).","[1] Defensive contributions that transition directly to attack phases not fully captured, limiting evaluation of multifaceted roles. [2] Analysis limited to La Liga 2018-2019, potentially narrowing generalizability to other leagues. [3] The expert-informed weights are static and may not reflect situational tactical adjustments fully."
